47.25,-18.06,0.05
47.25,-18.06,0.1
44.32,-19.03,0.15000000000000002
40.16,-17.51,0.2
34.63,-18.69,0.25
27.65,-17.09,0.3
16.87,-18.71,0.35
4.53,-20.38,0.39999999999999997
-10.13,-18.45,0.44999999999999996
-26.96,-18.73,0.49999999999999994
-40.14,-22.29,0.5499999999999999
-47.09,-20.96,0.6
-67.98,-19.8,0.65
-57.46,-23.86,0.7000000000000001
-50.4,-22.65,0.7500000000000001
-42.66,-27.62,0.8000000000000002
-35.22,-26.94,0.8500000000000002
-12.96,-24.61,0.9000000000000002
3.4,-30.31,0.9500000000000003
12.59,-23.89,1.0000000000000002
16.02,-15.05,1.0500000000000003
27.83,-22.61,1.1000000000000003
31.67,-16.19,1.1500000000000004
35.76,-16.98,1.2000000000000004
30.4,-16.32,1.2500000000000004
29.29,-15.47,1.3000000000000005
20.84,-18.02,1.3500000000000005
9.02,-20.18,1.4000000000000006
-2.82,-25.26,1.4500000000000006
-16.39,-22.45,1.5000000000000007
-31.23,-22.88,1.5500000000000007
-54.7,-22.92,1.6000000000000008
-70.17,-16.39,1.6500000000000008
-61.26,-19.87,1.7000000000000008
-44.7,-24.5,1.7500000000000009
-32.7,-23.02,1.800000000000001
-19.37,-22.43,1.850000000000001
-6.06,-22.79,1.900000000000001
1.9,-15.41,1.950000000000001
19.28,-22.17,2.000000000000001
26.0,-17.96,2.0500000000000007
35.24,-14.19,2.1000000000000005
38.97,-18.32,2.1500000000000004
37.36,-15.56,2.2
31.89,-16.59,2.25
22.56,-19.73,2.3
13.29,-21.18,2.3499999999999996
1.74,-19.52,2.3999999999999995
-13.29,-23.99,2.4499999999999993
-30.13,-21.82,2.499999999999999
-47.0,-20.87,2.549999999999999
-53.54,-25.4,2.5999999999999988
-57.03,-20.91,2.6499999999999986
-47.78,-23.41,2.6999999999999984
-40.7,-26.63,2.7499999999999982
-11.1,-34.08,2.799999999999998
3.72,-30.25,2.849999999999998
6.98,-25.18,2.8999999999999977
24.35,-32.19,2.9499999999999975
32.54,-26.78,2.9999999999999973
37.75,-17.82,3.049999999999997
41.12,-17.81,3.099999999999997
43.69,-18.86,3.149999999999997
38.77,-19.07,3.1999999999999966
30.88,-20.31,3.2499999999999964
21.33,-19.4,3.2999999999999963
10.11,-19.57,3.349999999999996
-0.95,-21.44,3.399999999999996
-14.33,-22.31,3.4499999999999957
-34.55,-25.77,3.4999999999999956
-43.73,-22.69,3.5499999999999954
-66.13,-23.23,3.599999999999995
-59.53,-24.43,3.649999999999995
-49.27,-27.47,3.699999999999995
-42.75,-29.35,3.7499999999999947
-34.14,-23.25,3.7999999999999945
-15.13,-26.9,3.8499999999999943
0.0,-29.51,3.899999999999994
7.73,-20.69,3.949999999999994
21.97,-19.97,3.999999999999994
33.37,-19.59,4.049999999999994
40.51,-21.66,4.099999999999993
46.57,-22.61,4.149999999999993
44.73,-20.18,4.199999999999993
39.77,-17.42,4.249999999999993
31.92,-19.74,4.299999999999993
19.28,-22.17,4.3499999999999925
6.31,-18.32,4.399999999999992
-9.49,-20.26,4.449999999999992
-27.05,-25.83,4.499999999999992
-45.06,-17.97,4.549999999999992
-62.75,-21.06,4.599999999999992
-71.09,-17.26,4.6499999999999915
-53.6,-25.84,4.699999999999991
-40.79,-28.76,4.749999999999991
-27.49,-36.4,4.799999999999991
-19.62,-37.19,4.849999999999991
-11.2,-29.62,4.899999999999991
7.46,-34.64,4.94999999999999
19.3,-21.43,4.99999999999999
29.77,-20.9,5.04999999999999
43.94,-19.85,5.09999999999999
53.97,-14.21,5.14999999999999
58.44,-19.4,5.1999999999999895
60.87,-13.28,5.249999999999989
59.4,-13.49,5.299999999999989
53.08,-16.59,5.349999999999989
45.5,-14.63,5.399999999999989
36.09,-16.67,5.449999999999989
22.29,-18.42,5.4999999999999885
6.41,-18.6,5.549999999999988
-10.13,-18.45,5.599999999999988
-23.34,-21.2,5.649999999999988
-37.45,-18.22,5.699999999999988
-57.0,-16.57,5.749999999999988
-75.99,-9.85,5.799999999999987
-58.51,-13.94,5.849999999999987
-46.36,-18.88,5.899999999999987
-27.04,-21.09,5.949999999999987
-8.69,-20.64,5.999999999999987
7.06,-18.84,6.0499999999999865
16.29,-14.62,6.099999999999986
26.92,-25.0,6.149999999999986
34.23,-21.69,6.199999999999986
45.41,-18.64,6.249999999999986
50.6,-20.39,6.299999999999986
52.97,-16.36,6.349999999999985
52.31,-15.86,6.399999999999985
47.37,-17.28,6.449999999999985
40.13,-19.65,6.499999999999985
29.46,-17.9,6.549999999999985
15.33,-17.19,6.5999999999999845
2.81,-21.07,6.649999999999984
-13.83,-23.86,6.699999999999984
-28.53,-24.01,6.749999999999984
-41.5,-20.4,6.799999999999984
-58.92,-22.5,6.849999999999984
-75.96,-12.93,6.8999999999999835
-54.11,-18.48,6.949999999999983
-38.49,-23.42,6.999999999999983
-20.86,-28.73,7.049999999999983
-8.69,-28.16,7.099999999999983
3.5,-23.38,7.149999999999983
18.91,-24.63,7.199999999999982
25.37,-23.45,7.249999999999982
35.95,-18.93,7.299999999999982
47.31,-16.56,7.349999999999982
53.14,-18.83,7.399999999999982
50.78,-20.95,7.4499999999999815
51.76,-17.78,7.499999999999981
45.71,-20.54,7.549999999999981
35.36,-20.31,7.599999999999981
26.29,-20.56,7.649999999999981
11.93,-21.47,7.699999999999981
-4.98,-22.45,7.7499999999999805
-20.59,-22.87,7.79999999999998
-37.53,-19.4,7.84999999999998
-48.53,-18.09,7.89999999999998
-48.77,-19.08,7.94999999999998
